import time: self [us] | cumulative | imported package
import time:       641 |        641 |   _io
import time:        53 |         53 |   marshal
import time:       345 |        345 |   posix
import time:      5201 |       6239 | _frozen_importlib_external
import time:      5043 |       5043 |   time
import time:       556 |       5599 | zipimport
import time:       341 |        341 |     _codecs
import time:      3151 |       3492 |   codecs
import time:      1771 |       1771 |   encodings.aliases
import time:      3626 |       8888 | encodings
import time:       642 |        642 | encodings.utf_8
import time:        83 |         83 | _signal
import time:        94 |         94 |     _abc
import time:       453 |        547 |   abc
import time:       405 |        952 | io
import time:        49 |         49 |       _stat
import time:        85 |        133 |     stat
import time:      2212 |       2212 |     _collections_abc
import time:       279 |        279 |       errno
import time:        55 |         55 |       genericpath
import time:       232 |        565 |     posixpath
import time:      4252 |       7161 |   os
import time:        52 |         52 |   _sitebuiltins
import time:       517 |        517 |   sitecustomize
import time:       755 |       8484 | site
import time:      1543 |       1543 | linecache
import time:   1243865 |    1243865 |     django.utils
import time:      4158 |       4158 |       _datetime
import time:      1655 |       5813 |     datetime
import time:       539 |        539 |         itertools
import time:       388 |        388 |         keyword
import time:       225 |        225 |           _operator
import time:       488 |        713 |         operator
import time:       426 |        426 |         reprlib
import time:        52 |         52 |         _collections
import time:      1125 |       3240 |       collections
import time:        33 |         33 |       _functools
import time:      2330 |       5602 |     functools
import time:      1077 |       1077 |             types
import time:      1974 |       3051 |           enum
import time:       265 |        265 |             _sre
import time:       309 |        309 |               re._constants
import time:       467 |        775 |             re._parser
import time:       259 |        259 |             re._casefix
import time:      1532 |       2830 |           re._compiler
import time:       485 |        485 |           copyreg
import time:      2704 |       9068 |         re
import time:        62 |         62 |         _locale
import time:      3626 |      12755 |       locale
import time:       545 |        545 |       signal
import time:       904 |        904 |         warnings
import time:       644 |        644 |         _weakrefset
import time:      9058 |      10605 |       threading
import time:       994 |        994 |       contextlib
import time:      3981 |       3981 |       fcntl
import time:       686 |        686 |       msvcrt
import time:      2503 |       2503 |       _posixsubprocess
import time:      2054 |       2054 |       select
import time:      2206 |       2206 |         math
import time:       643 |       2849 |       selectors
import time:      1224 |      38192 |     subprocess
